Abstract,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A unique milling cutter dynamometer has been designed and developed which enables radial and tangential forces acting on a cutter tooth to be recorded throughout its cutting action. The research value of this instrument has been demonstrated in a series of comparative experiments involving up-cut and down-cut milling. © Taylor and Francis Group, LLC.",1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We consider the problem of a, machine shop in which some items are made specially to customor order while other items are made for and subsequently sold from finished goods inventory. It is assumed that both types use the same set of facilities in their manufacture. However, whereas we may have some choice in the timing of replenishment orders which are manufactured for stock, the demands for make-to-order items will not generally permit the same degree of freedom. Consequently when congestion difficulties arise through facility overloading it is often the ‘ stock orders ’ which arc forced to wait. In this case study we present an attempt to measure the relationship between the level of shop congestion and the degree of retardation of stock leadtimes. Clearly if correlation exists, then we might conversely be able to assess maximum loading levels in the light of the stock leadtimes which are deemed to be desirable. © 1973 Taylor and Francis Group, LLC.",1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Economic work measurement can now be successfully achieved in many areas by the integrated use of the various systems in the M.T.M. family. A related area is that of comparative estimating in which jobs are allocated by the planner to a time interval and then assigned the single time associated with that interval. This paper examines two different methods of time (distance) interval selection— one from each area, and discusses the implications of these different bases on managerial decision making. It is suggested that in practice comparative estimating may have much to offer, and the paper concludes with comments on planner estimation error, showing that there appears to be a unique best solution for any particular environment, although this may be insensitive near the optimum. © 1974, Taylor & Francis Group, LLC.",1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The equipment replacement theory usually assumes a uniform distribution of the major variables in the model, e.g., salvage values, expected maintenance cost and purchase price of a replacement item. However, in practice, the assumption of uniform characteristics of the variables is not always valid, furthermore, when the data points are few and the normality assumption is violated, the least squares regression method provides unreliable posterior estimates. In this paper, an attempt was made to derive an optimum decision by employing the robust regression method. It was shown that the optimum decision derived by the least squares method is. in fact, a suboptimum decision when the identical problem is solved via the robust method. © 1982 Taylor & Francis Group, LLC.",1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consider a printed circuit board with N signal paths in which k (not known a priori) paths are subjected to electrical shorts. A straight forward technique to detect all shorts is to test each pair of signal paths separately. This method needs (N2— N)/2 tests. In order to reduce the testing effort, manufacturers introduced a device that could test a group of signal paths against another group of signal paths. With the help of this device, a method with N + ((k2—k)/) tests needed was patented in 1982. In this paper, we present a new method that requires only O(k[log2N]) tests to achieve the same resolution using the same device. © 1990 Taylor &amp; Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper presents a single machine scheduling problem with sequence-dependent changeover times. An optimizing solution procedure and various appropriate heuristics are reviewed. The performance of these and other heuristics in the dynamic situation, as new jobs arrive to be processed and have to be added into the existing schedule at some time are considered. An ideal solution would be to reschedule as each new job arrived, but as this is not generally practical from a computational viewpoint, it has to be carried out less frequently. The actual frequency of this rescheduling is clearly of importance, and some of the heuristics are more adaptable to this than others. Some results are presented which attempt to quantify this adaptability for the heuristics in question, and it is demonstrated that best heuristic for the static problem is not necessarily the best heuristic in the dynamic situation.",1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A sequencing machine is a piece of equipment used in the electronics industry to produce sequenced reel-packaged tapes of axial leaded components for different types of printed circuit packs (PCPs). Due to the limited number of dispensing heads available on the sequencing machines, the relatively large number of component types competing for these heads, and the diversity of the component type requirements of different types of PCPs, efficient scheduling of these machines is usually not a simple task. In this paper we discuss a structured approach to the problem of scheduling the sequencers, and present a mathematical model, as well as a heuristic procedure, that can be used to resolve some of the difficulties involved. © 1989 Taylor & Francis Group, LLC.",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper reports the major findings to date of an investigation into the human aspects of group technology and cellular manufacture. The project is part of a larger multi-disciplinary multi-institutional research programme financed by Britain's Science Research Council. Initially the benefits following the introduction of group technology were seen to be economic and technological. Recently claims have been made which suggest that it is the social benefits which are likely to be the most significant in the future. The paper assesses these claims in the light of observations made on the impact of group technology in the following areas: (1)Worker flexibility and job variety. (2)The importance of the social group. 3)Reduction in frustration. (4)Improvements in material working conditions. (5)Status and security. This is followed by a note on the reaction of trade unions to the implementation of group technology. The paper concludes with (1) a plea for more research into batch manufacturing systems; (2) the suggestion that too much academic research is geared to proving preconceived theories rather than describing reality: (3) the belief that unless researchers are prepared to make judgments about what they find their work will be of little interest or utility to practising managers; (4) the statement that group technology and cellular manufacture are worthy of consideration for wider application as they offer the opportunity to make more effective use of present technological knowledge resulting in both economic and social benefits. © 1976, Taylor & Francis Group, LLC.",1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The integration of production systems and social values must be seen to be taking place within a continuously changing environment Up to the end of this century it seems inevitable that the stress on technological development will continue. This is because the power of a country depends upon the success of its industries However, emphasis placed solely on mechanical efficiency—as with Bowlines— itself creates problems. In addition to the threat of socially-induced, large scale unemployment, there are the problems of employee boredom and dissatisfaction It is suggested that where viable group methods of working are introduced It is concluded that, although deterministic statements about the future are impractical, planned-for change is more likely to be successful than accidental change and hence future social needs should be an important criterion in determining current research activity. © 1974, Taylor & Francis Group, LLC.",1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Statistical analysis of questionnaire data from 163 large European manufacturers show that those who put high emphasis on the development of flexible manufacturing systems (FMS) also pay more attention to many other elements in the management of their production systems. The authors hypothesize that FMS is management of their production systems. The authors hypothesize that FMS is being used, apart from its technological benefits, as a managerial tool for pushing new modes of thinking and performance in production, with the underlying objective of upgrading the strategic role of manufacturing in the company.",1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper presents two new solution procedures for a deterministic lot size problem, a matrix algorithm and a heuristic matrix method. The algorithm is based on the dual of a linear programming model formulation of the lot size problem, and it provides optimal solutions even in the general case of time-varying parameters. A comparison of the efficiency of the new solution procedures with well-known methods is developed. New applications of the techniques described within the fields of engineering (optimal design of a pump-pipe system) and economics (a model for import-planning) are referred to. © 1984 Taylor & Francis Group, LLC.",1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This is the first in a two-part report on control engineering considerations in quality assurance. This paper introduces some basic concepts in the measurement of the ‘loss’ due to poor product quality, and approaches the issue of parameter optimization of the control system through the modem of manipulating the ‘proportional-integral-and-derivative controller’ (PID) constants, using an experimental approach coupled with simulation as the methodology to achieve the desired objective. The second paper (forthcoming) approaches the problem from the point of view of parameter optimization via mathematical programming, and then addresses the issue of setting the standard of system performance through Markov decision processes. © 1990 Taylor & Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The response of a cutting force dynamometer system is often complicated by resonances, in or near the pass band of the instrument, and by cross sensitivity between nominally orthogonal measurement axes. Transfer functions are frequently used to describe such a response, but are difficult to determine by sinusoidal excitation methods. Transient loading techniques, however, give this information much more rapidly and this aids the development of instruments with suitably placed first resonances. It may then be possible to assume that the transfer functions are constant and frequency independent and to correct simply for the effects of cross sensitivity. © 1982 Taylor & Francis Group, LLC.",1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Radial turning tools extend as a result of cutting forces and temperature. The effect on work size is examined and some experimental results are compared witK estimates based on a simple model. Some methods of measuring tool extension both directly and through its effect on work size are described and conditions are discussed under which this effect may be minimized. © 1970 Taylor & Francis Group, LLC.",1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The compact two-component dynamometer described is intended for use in the restricted space around the tools of a Swiss-type automatic. The general construction of the instrument, which employs air gauging principtes, is discussed and it is reported that its performance is unaffected by the abundant use of cutting fluid. Calculation of the parameters of the pneumatic system, and the calibration and performance of the complete system are discussed. © Taylor and Francis Group, LLC.",1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Traditionally the grinding process has been a finishing process and the operating parameters and the results obtained in this mode are well known. However, there is an increasing demand for the use of high rates of metal removal grinding and when allied with the application of adaptive control this has highlighted a need to be able to predict the forces that will be generated during grinding operations. The work reported is part of an overall programme to study the effects of different dressing tools, wheel speeds, metal removal rates and dress leads on grinding ratio, surface finish and grinding forces. From the results obtained for grinding forces it will be shown that various factors in the dressing and grinding operations influence the initial and subsequent levels of grinding force. These factors are discussed and empirical formulae developed to predict levels of normal and tangential force during grinding. The developed formulae utilise commonly specified parameters in the grinding process and are more easily applied than those of other researchers which rely on measurements obtained during testing. © 1986 Taylor and Francis Group, LLC.",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The relationship between the normal and tangential forces in grinding has been the subject of a number of research reports. There is a broad measure of agreement that the relationship between these forces is based on the coefficient of friction and a constant, the value of which is dependent on the grinding process parameters. This paper further considers the nature of the relationship between the forces, and using previously published values and results, advances empirical formulae to show how the values for the coefficient of friction and the constant will vary for a range of wheel speeds, metal removal rates and dressing leads. The value for the coefficient of friction is shown to be highly dependent on the heat input to the process, thus confirming some of the conclusions of earlier research. © 1986 Taylor and Francis Group, LLC.",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Productivity increases attributed to the Japanese management approach known as just-in-time (JIT) include better customer service, higher quality levels, increased labour and machine efficiency and reduced inventory levels. These potential benefits, as well as others, have caused many large companies to examine JIT. Most of this interest has been focused on JIT applications for large repetitive manufacturers. Research, and the experiences of some managers, indicate its potential in job-shop and process industry environments. Little research has been conducted in small manufacturing environments. This paper examines JIT, its elements, benefits and feasibility in a small manufacturing setting. A bottling company is described and examined in terms of its suitability for JIT implementation. This example shows that not all elements of JIT are feasible for all situations. Each element of a JIT system should be examined as it applies to small or large manufacturing or to repetitive, job-shop of process industries. More specifically, JIT should be examined in terms of its application to individual plants. © 1986 Taylor and Francis Group, LLC.",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper extends existing quantitative methods for the economic evaluation of alternative investment proposals to the arena of decision-making within economies characterized by inflationary trends. The models developed may be used in transactions involving one or several countries each having a differing rate of inflation. © Taylor and Francis Group, LLC.",1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Several algorithms have been presented for handling complex scheduling problems. These methods are computationally impractical when confronted with large problems. New algorithms have been developed for solving job-shop problems. They are more efficient than the previous ones because they use dominance and better bound ideas. The purpose of this paper is to present an efficient algorithm for complex scheduling problems generalizing those ideas. © 1975, Taylor & Francis Group, LLC.",1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Studies are made of various groups of workers engaged in repetitive tasks; photographic and activity sampling techniques are used to record postural behaviour. Measurements are made of dimensions of operators and their machines and workplaces relevant to the working relationship between them. As a result of the studies modifications are made to machines and workplace layouts, and changes in postural behaviour and workers' reports of feelings of fatigue are noted. © Taylor and Francis Group, LLC.",1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This study develops a set of preventive maintenance policies, based on the idea of critical machines, for use in group technology shops. These policies designated certain machines in the shop as critical. When a critical machine breaks down, it is repaired and preventive maintenance is applied to a block of machines (either the remaining machines in the cell, the other machines of the same type or all of the remaining machines in the shop). Simulation of a complex group technology shop was used to compare twelve definitions of criticality and three preventive maintenance conditions. The definition of criticality was not found to be a major cause of performance differences between shops, since in many cases, the same machines were critical by any definition. The application of preventive maintenance to all machines in the shop when a critical machine had failed led to the best shop performance, indicating that the reduction in machine interference caused by doing so was more important than the unique features of group technology. © 1989 Taylor & Francis Group, LLC.",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A simulation model of an actual job shop was used to compare group technology with traditional job shop manufacturing. The experiment compared shops which had four different layouts, designed to emphasize different features of traditional job shops and group technology shops, and four distributions of demand for end items. The group technology shops exhibited superior performance in terms of average move time and average set-up time. The traditional job shops had superior performance in queue related variables (average queue length, average waiting time, work-in-process inventory, etc.). This was caused by group technology's dedication of machines. The effects of the queue related variables outweighed the effects of average move time and average set-up time: the average flow time was shorter in the traditional job shop than in the group technology shops. © 1986 Taylor and Francis Ltd.",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When the average setup time is shorter, machines are available for processing relatively more time, leading to an increase in shop ouput capacity. In this simulation experiment, setup times are lowered, both by implemention family grouping and through the use of a sequence dependent setup time based scheduling procedure. The results clearly showed that reduced setup times led to greater output capacity. The higher input rate in the models with increased capacity, however, had a detrimental effect on many other performance variables in the shop. Some of this detrimental effect was alleviaed by the use of a scheduling procedure which was designed to capitalize on the sequence dependent nature of setup times.",1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The problem of inventory control has received increasing attention over the last 16 to 20 years, which has resulted in a vast amount of literature. Two types of inventory can be distinguished: (1) manufacturing inventories, which contain dependent demand items and are most efficiently controlled by means of Material Requirements Planning (MRP), and (2) distribution inventories, which contain independent demand items and for which Statistical Inventory Control (SIC) techniques are usually employed. This paper is a survey of the literature available on the management of production inventories. It deals with, and compares, MRP and SIC as both these techniques are used in industry. For literature published before 1972 this survey has been based mainly on review articles, but for the period of 1972 to 1976 original books and papers are reviewed and listed as references. © 1977, Taylor & Francis Group, LLC.",1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A novel idea for the development of statistical sampling plans is presented. The salient feature of this inspection plan is that rejection of lots cannot take place, yet the consumer is indifferent to lot quality. Simple examples are discussed. Advantages and disadvantages of this type plan are suggested. © 1970, Taylor & Francis Group, LLC.",1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An application of the theory of input-output analysis to quality information is demonstrated. This model allows the study of indirect as well as direct causes of defects. The model may be applied to existing or planned manufacturing facilities. Several examples are shown. © 1972 Taylor & Francis Group, LLC.",1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing graph-theoretic heuristics for block plan design attempt to maximize the sum of the scores of adjacent pain; of fncilit.ies. A new grnphtheoretic heuristic is presented which has the aim of minimizing total transport nUoII cost instead. This has the advantage (If giving credit ill the objective function to pairs of facilities which are somewhat near but not actually adjacent. Reported computational experience with the method is encouraging. © Taylor & Francis Group, LLC.",1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The plant layout problem is an important industrial problem that remains unsolved. Seppanen and Moore considered an important subproblem: that of the optimal specification of which facilities are to be adjacent in the final layout without regard to the area or shape of the individual facilities. They present a string processing heuristic which relies on using a test for graph planarity. This paper further develops their graph theoretic formulation of the problem. This development is used to present two procedures which usually yield near-optimal solutions. The procedures circumvent the considerable difficulty of graph planarity testing by working entirely within a family of graphs known to be planar and also to contain the solution. Ways of improving suboptimal solutions are discussed. Computational experience in using the methods on a variety of problems suggests that the methods are efficient. © 1978, Taylor & Francis Group, LLC.",1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper outlines the approach taken by the Cell Control Group at the University of Birmingham, in collaboration with four industrial partners, to define the generic elements of a discrete cell controller. The research programme has determined the functions which should be performed at cell level, and established how the cell controller should communicate both upwards to manufacturing information systems and downwards to the machine controllers on the shop floor. © 1990 Taylor & Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper describes a pilot study conducted to investigate the performance of operators under paced conditions in a particular form of conveyor-paced working. The response shown by the operator is reflected grossly by a speeding-up in work rate The study aims particularly at investigating whether the service time for a part, delivered on the conveyor, will depend upon the time available before the next part would be missed and pass unprocessed. The feed rate and the position in the pick-up area in which a part is picked up arc shown to affect the service time with different ce:degrees of magnitude. © Taylor and Francis Group, LLC.",1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We begin with the part-oriented definition of a workcell task in terms of generic elementary actions to be performed. These actions are then mapped to a workcell-element-oriented description of the operations to be executed to perform the task. When the workcell task is repetitive, the notion of a workcell cycle becomes important, and we can associate with each workcell element a repetitive sequence of operations. In this paper, we shall demonstrate that workcell programming is more than just a matter of sequencing, since there may exist alternative cycles inherent in the same specification of the workcell tasks. These alternatives are then compared in terms of cycle time, task throughput, task-processing rate, and machine utilization. But even for simple workcell tasks, the space of possible time evolutions of workcell behaviour can be very large, with many different workcell cycles. To automate such sequence analysis, we therefore present a Prolog-based decision-support system called SAGE (sequence analysis by generalized enumeration). Three simple examples are used to illustrate our approach. © 1990 Taylor & Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper presents an argument that since the proportion of product cost which represents direct labour is diminishing and the material content cost is increasing, western firms are shifting their production management paradigm from one of maximizing the utilization of capacity to one of minimizing the need for inventory. With this shift in management emphasis is coming the acceptance of unavoidable idle time at some work stations. This paper presents a mixed integer linear programming formulation which optimizes the sequence of jobs through a single facility and which places the correct amount of idle time between jobs to minimize the sum of earliness and tardiness penalties. Although this formulation reaches an optimal solution in every instance, the computation lime required was found to grow in an exponential manner as the number of jobs considered increased. Given the cost of computing at present, there appears to be a need for more computationally efficient heuristics to solve this problem. © 1988 Taylor & Francis Group, LLC.",1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Single-stage job-shop scheduling has received a great deal of attention in the published literature. Significantly less research has been done in the area of assembly job shops. With the onslaught of MRP implementations designed to plan and control assembly job shops, practitioners have been confronted head-on with the need to improve dispatching procedures. This paper examines the effect of three different product structures on the performance of selected priority dispatching rules in a six-machine assembly job shop. Results indicate that significant relationships exist between the structure of the product bill of materials and the priority dispatching rule, and that specific rules are indeed better suited to certain product structures. © 1989 Taylor & Francis Group, LLC.",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the multistage job shop, several parts are assembled to form sub-assemblies which are then assembled into final products. Job delays may occur due to the lack of capacity and also due to the lack of component parts necessary to form a subassembly. Previous research of similar systems have assumed a balanced capacity. A more realistic assumption is one in which machine capacities are not balanced such that one machine can be identified as a bottleneck. In this paper, the performance of selected dispatching rules in an unbalanced multistage job shop is evaluated to-determine whether the performance is consistent for jobs which are routed through the bottleneck and for jobs which by-pass the bottleneck. © 1988 Taylor and Francis Ltd.",1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A number of multiple-parameter adaptive exponential smoothing models have been proposed and demonstrated over the last two decades for short range forecasting. There have been conflicting results on their performance and no systematic study has been conducted to compare them in a controlled environment. The work reported here fills this void by testing a set of well known multiple-parameter adaptive procedures against the three-parameter Winters' model. First, sets of synthetic time series with known characteristics are used to compare performance for the different approaches using the standard deviation of forecast errors. Second, the information gathered at this point is used to predict the technique's performance on six empirical time series. And third, general guidelines are presented for model selection. © 1986 Taylor and Francis Ltd.",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper presents a system of using a cause and effect diagram (also called the ‘fish bone ’) with the addition of cards, developed and applied in our company. This participative system worked remarkably well in the field of quality control. The philosophy behind the system is introduced in this paper, and a scientific analysis is made of the factors needed for success. © 1978, Taylor & Francis Group, LLC.",1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Although many companies have found JIT manufacturing to be a very effective manufacturing strategy, few models have been developed which can help direct JIT efforts. This article discusses some of the problems with modelling JIT manufacturing, it describes some simple models of inventory costs in a JIT system and it uses these models to evaluate alternative inventory-cost reduction strategies in a printed circuit board (PCB) assembly system. © 1989 Taylor & Francis Group, LLC.",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper estimates the potential market for robotic assembly. The potential market is defined in terms of: (i) the percentage of assembly; (ii) the number of displaced workers and (iii) the number of installed robots, where robots are a lower-cost method than conventional techniques (hard automatic and manual). It also estimates the effects of developments in visual sensing for part recognition, tactile sensing for flexible grippers and reduced control engineering costs (software) on the economics and potential market for robotic assembly. Though the primary concern is to estimate future, as opposed to existing, costs of robotic assembly, many of the cost estimates are bad on systems that are currently available. The paper has implications for product and research and development planning in industry, universities and federal research and development programmes. © 1986 Taylor and Francis Ltd.",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Given the dynamic finished good requirements, a model is presented to derive the optimal levels of inventory, backlogging, and machine loading in a multi-stage, multi-period production environment characterized by non-identical machines in each stage. Dynamic capacity constraints on the level of inventory, backlogging, and machine loading are included. Furthermore, capacities and operating costa of machines performing the same tasks at any stage in the production process are permitted to vary in order to consider the individual characteristics of machines. Therefore, machine loads are obtained for non-identical machines capable of performing the same operations. The model is represented as a capacitated network with linear costa and is quickly solved using a standard network code. © 1986 Taylor and Francis Ltd.",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rapid technological innovation and the multiplicity of pertinent assembly design features mean that large quantities of information have to be processed for assembly-suitable designing. In order to be able to utilize purposefully the knowledge obtained in this way, the designer must be able to discover the weak points in the design with respect to automated assembly. In view of the complex interrelationships between the design features and the assembly effort and the constantly shorter development times for the product, the designer is overtaxed in the solution *of the problem. If he must nevertheless incorporate the requirements of a simple product assembly into the design, the assembly experts have the job of providing him with the proper aids for assembly-appropriate designing. This article presents solution rudiments for such aids. The processes described disclose the inherent mathematical interrelationships of a design with respect to the assembly effort and assist in analysing a product with reference to its suitability for assembly. The processes are based predominantly on heuristic inceptions. © 1986 Taylor and Francis Ltd.",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This paper provides several solution procedures for the class of lot size and order point decisions when countermeasures are necessary to avoid stockouts or mitigate their effects. Several countermeasure cost functions are incorporated when lot size and order point decisions are considered both independent/non optimal and dependent/optimal. Manual solution procedures are provided that utilize graphs specifically developed for these problems which are further explained through examples. Computer simulation procedures are developed and documented that are used to compute optimal results. Comparisons of cost results under conditions of independent/non-optimal and dependent/optimal lot sizes and order points are presented. © 1983 Taylor and Francis Ltd.,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A classification and coding system for hull structural steel components in the shipbuilding industry is described. The system uses nine digits and is of a fixed digital significance type. It has been created to provide information for both design and production, and also hull component statistics The testing of the classification system and its potential use in the industry is described. © 1974, Taylor & Francis Group, LLC.",1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The article reviews the work of the Department of Engineering Production in the development arid application of group technology. The Department was one of the first in. Britain to become involved in this subject, and of recent months a major research commitment has begun in this novel production philosophy. Croup technology is concerned with the exploitation of the sameness of components, and of their related manufacturing operations. This review examines research work in this area which has been concerned with: (i) fundamental questions, (ii) international studies, and (iii) industrial applications. © 1971 Taylor and Francis Group, LLC.",1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper is concerned with a “variable input output” system of inventory control in which both the inventory level and maintenance capacity are intimately connected to arrive at a minimum cost solution. The characteristic of the situation is the closed system formed by an organisation in which specific items which require periodic maintenance are at any time being used, reconditioned and stored. A bus engine inventory network of a transport industry was studied and the optimum cost condition obtained for the total number o spare engines and maintenance channels. © Taylor and Francis Group, LLC.",1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper aims to contribute to the knowledge of factors influencing the performance of flexible automation systems, through the analysis of the behaviour of control rules (loading and dispatching rules) implemented in the real time control system of such plants. The research objective was to obtain some general indications on modes of approaching loading and dispatching of flexible manufacturing systems, bearing in mind that, on the one hand, the performances of the rules are influenced by the configuration of the plant to run, and on the other that for a given plant, there is the further influence of the production mix. © 1990 Taylor & Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The paper outlines the features of an ‘intelligent’ interface based on local area network (LAN) protocols, which was designed to enable a variety of computer controlled manufacturing machines to be linked together and integrated with supervisory computers performing control, data-base and production management functions. The use of this interface provides the basis of a general solution to the problems of flexibility and efficient utilization within manufacturing environments. To illustrate the use of the interface, the paper presents some examples of the utilization of shared resources on a computer network to improve the processing facilities available at robot controllers. Also included is a brief discussion of the nature of communication with computer controlled manufacturing machines. © 1987 Taylor and Francis Ltd.",1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper presents a vehicle system simulator, AGVSim2, to be used in the evaluation of control strategies of real-time free-ranging vehicle supervisory controllers. The C-based discrete-event simulator is designed to be flexible so that many system configurations can be modelled. Also, the simulator allows for complex free-ranging vehicle manoeuvres, bidirectional flow, multiple vehicle types, and multiple loads on a vehicle. Instead of modelling the vehicle controller logic, the simulator is linked directly to the vehicle supervisory controller software. The simulator reports a variety of performance statistics and a trace of the system activities so that the performance of the supervisory controller can be evaluated. To improve the evaluation procedure, the simulator is also designed to be linked to an animation module that graphically displays the vehicle movements. © 1989 Taylor & Francis Group, LLC.",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An important factor in the design of automated guided vehicle systems (AGVS) is the flow path design. This paper presents an approach to determining the optimal flow path. The objective is to find the flow path which will minimize total travel of loaded vehicles. The problem is formulated as a zero-one integer program. Examples are presented to demonstrate the approach. © 1987 Taylor & Francis Group, LLC.",1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Recent technological development in vehicle design allow vehicles to operate without physical guide paths, i.e. free-ranging automated guided vehicles. This paper addresses the problem of defining flow paths for these vehicles. A model is presented whereby the number of allowable flow paths and the flow directions between nodes (representing pickup/delivery stations and aisle intersections) of the layout network are determined. Examples are presented to demonstrate the approach. © 1989 Taylor & Francis Group, LLC.",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the paper is given the original information about the SAPORS system for the automatic design of technological process for NC lathes. The SAPOR-S system is developed at the Laboratory of Machine Tools of the Institute of Production Engineering, Faculty of Technical Sciences, Novi Sad. The model of the system is briefly stated as well as principle of formalizing the input information about the part and some examples of intermediate and final results. Some particularities are emphasized and advantages of the SAPOR-S system over the similar ones. Finally, the directions of further development of the SAPOR system are established. © 1983 Taylor and Francis Ltd.",1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper concerns the minimization of a complex cost function in a flow-shop. Four heuristic methods for obtaining a good solution to the sum of weighted tardiness and weighted flow-time problem are proposed. Computational results are provided and a, recommendation is made with respect to other objective functions. © 1978, Taylor & Francis Group, LLC.",1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Considerable attention has already been devoted to the many aspects of the inspection task and findings suggest that the factors affecting the efficiency of inspection are subtle and not easily controlled. However, observation of the visual inspection techniques used in most factories suggests that this is not generally recognised and that there is an entirely misplaced confidence in the effectiveness of 100% visual inspection In this study, consideration is given to some of the factors affecting visual inspection, and trials have been made, which, whilst showing inspection decisions to be inconsistent, suggest ways of achieving a progressive improvement. It is recognised, however, that variability is inevitable in the making of subjective judgements. © 1972 Taylor & Francis Group, LLC.",1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A series of research projects has shown that subtle differences in micro-method can not only yield significantly different outputs, but may be undetected by the work study practitioner. It was further shown that lack of motivation may completely nulify some work measurement techniques. Due to these findings, it is apparent that work study and measurement projects will be greatly enhanced if: (a) the micro-method is developed, specified and taught by proper experts and (b) workers are motivated from their first introduction to the task. © 1972 Taylor & Francis Group, LLC.",1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The accuracy ofwork measurement techniques depends upon many factors which vary randomly. By simulating the use of a particular measurement technique, as it is affected by the random variations, one can assess the influence on accuracy of the major factors and appraise the value of remedial measures. © 1981 Taylor and Francis Ltd.",1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
